first_name,last_name,party
A,Ferguson,Republican
Abby,Finkenauer,Democratic
Abigail,Spanberger,Democratic
Adam,Kinzinger,Republican
Adam,Schiff,Democratic
Adam,Smith,Democratic
Adrian,Smith,Republican
Adriano,Espaillat,Democratic
Al,Green,Democratic
Al,Lawson,Democratic
Alan,Lowenthal,Democratic
Albio,Sires,Democratic
Alcee,Hastings,Democratic
Alex,Mooney,Republican
Alexander,Mooney,Republican
Alexandria,Cortez,Democratic
Alexandria,Ocasio-Cortez,Democrat
Alma,Adams,Democratic
Ami,Bera,Democratic
Andre,Carson,Democratic
Andrew,Clyde,Republican
Andrew,Garbarino,Republican
Andrew,Kim,Democrat
André,Carson,Democrat
Andy,Barr,Republican
Andy,Biggs,Republican
Andy,Harris,Republican
Andy,Kim,Democratic
Andy,Levin,Democratic
Angie,Craig,Democratic
Ann,Kirkpatrick,Democratic
Ann,Kuster,Democratic
Ann,Wagner,Republican
Anna,Eshoo,Democratic
Annie,Kuster,Democrat
Anthony,Brindisi,Democratic
Anthony,Brown,Democratic
Anthony,Gonzalez,Republican
Antonio,Delgado,Democratic
Ashley,Arenholz,Republican
Aston,Mceachin,Democratic
August,Pfluger,Republican
Aumua,Radewagen,Republican
Austin,Scott,Republican
Ayanna,Pressley,Democratic
Barbara,Lee,Democratic
Barry,Loudermilk,Republican
Ben,Cline,Republican
Ben,Lujan,Democratic
Ben,Mcadams,Democratic
Bennie,Thompson,Democratic
Beth,Van Duyne,Republican
Betty,McCollum,Democrat
Betty,Mccollum,Democratic
Bill,Flores,Republican
Bill,Foster,Democratic
Bill,Huizenga,Republican
Bill,Johnson,Republican
Bill,Pascrell,Democrat
Bill,Posey,Republican
Billy,Long,Republican
Blaine,Luetkemeyer,Republican
Blake,Moore,Republican
Bob,Gibbs,Republican
Bobby,Rush,Democratic
Bonnie,Coleman,Democratic
Bonnie,Watson Coleman,Democrat
Brad,Sherman,Democratic
Brad,Wenstrup,Republican
Bradley,Byrne,Republican
Bradley,Schneider,Democratic
Brenda,Lawrence,Democratic
Brendan,Boyle,Democratic
Brett,Guthrie,Republican
Brian,Babin,Republican
Brian,Fitzpatrick,Republican
Brian,Higgins,Democratic
Brian,Mast,Republican
Bruce,Westerman,Republican
Bryan,Steil,Republican
Buddy,Carter,Republican
Byron,Donalds,Republican
C,Ruppersberger,Democratic
Carlos,Giménez,Republican
Carol,Miller,Republican
Carolyn,Bourdeaux,Democrat
Carolyn,Maloney,Democratic
Cathy,McMorris Rodgers,Republican
Cathy,Rodgers,Republican
Cedric,Richmond,Democratic
Charles,Fleischmann,Republican
Charlie,Crist,Democratic
Chellie,Pingree,Democratic
Cheri,Bustos,Democratic
Chip,Roy,Republican
Chris,Collins,Republican
Chris,Pappas,Democratic
Chris,Stewart,Republican
Chrissy,Houlahan,Democratic
Christopher,Jacobs,Republican
Christopher,Smith,Republican
Chuck,Fleischmann,Republican
Clarence,Owens,Republican
Clay,Higgins,Republican
Cliff,Bentz,Republican
Colin,Allred,Democratic
Collin,Peterson,Democratic
Conor,Lamb,Democratic
Cori,Bush,Democrat
Cindy,Axne,Democratic
Dan,Bishop,Republican
Daniel,Crenshaw,Republican
Dan,Newhouse,Republican
Daniel,Kildee,Democratic
Daniel,Lipinski,Democratic
Daniel,Meuser,Republican
Daniel,Webster,Republican
